report,type_blocker,type_regression,type_bug,type_documentation,type_enhancement,type_task,type_dependency_upgrade
Gary Russell opened AMQP 295 to address a hardcoded version issue in the QuickTour Maven snippet originally set to 1 0 0 RELEASE The version placeholder only expands in index xml and the task involves modifying the plugin to expand this placeholder in other files This issue duplicates 1847 which also concerns fixing the QuickStart Maven version A pull request for the docbook plugin has been submitted awaiting a build as referenced in this link https github com SpringSource gradle plugins pull 9 Additionally another pull request related to this fix can be found here https github com SpringSource spring amqp pull 80,0,0,1,1,0,0,0
In AMQP 216 Joris Kuipers reported an issue with the XSD documentation for the key attribute in a binding element within a direct exchange declaration in XML The documentation states that if the key attribute is not provided it defaults to the queue name However the DirectExchangeParser currently sets it to an empty string when not specified Kuipers suggests aligning the implementation with the documentation as defaulting to the queue name seems more appropriate This issue affects version 1 0 0 GA and Gary Russell referenced related issues 1765 and 1791,0,0,1,1,0,0,0
The reference guide for Spring AMQP version 1 0 0 RC1 still mentions AbstractRabbitConfiguration which is outdated This occurs in section 3 2 1 focusing on synchronous examples The issue affects versions 1 0 0 RC1 and 1 0 0 RC2 More details can be found in the linked JIRA issue opened by Kyle Smith,0,0,1,1,0,0,0
The issue AMQP 165 involves the AmqpAppender not shutting down cleanly when a web application is terminated This problem was addressed by implementing a Log4jConfigListener which ensures that appenders are properly closed Additionally in the Spring Rabbit module the solution involved manually closing the connection factory when the appender is closed The fix was applied to version 1 0 0 RC1 enhancing the shutdown process and preventing potential resource leaks,0,0,1,1,0,0,0
The issue reported in AMQP 164 involves exchange parsers not correctly handling anonymous queues in the Spring Rabbit project leading to test failures in the stocks sample application The failure occurs due to a lack of integration tests for binding parsers resulting in a BeanCreationException The exception arises when the RabbitAdmin bean fails to initialize triggered by an AmqpIOException caused by a missing exchange This is evidenced by a ShutdownSignalException indicating the absence of the tradeQueue exchange The problem affects version 1 0 0 GA and was resolved by creating a factory bean for bindings enhancing XML parser functionality,0,0,1,1,0,0,0
The document should clearly state that micrometer observations are not started for batch listeners Currently this is not mentioned leading to confusion for users who expect metrics to be created when observationEnabled is set Observations are only started for single elements not batches as indicated in the Spring AMQP source code This is because processing a batch involves multiple messages and it s up to the target handler implementation to handle observations per item The documentation will be updated to reflect this with a scheduled release next Monday Contributions to the documentation are welcome,0,0,0,1,1,0,0
David Moore reported multiple instances of a typo to to in the Spring AMQP documentation The errors appeared in sections related to RabbitTemplate ReturnCallback RabbitTemplate ConfirmCallback and connection listeners These typos were consistent across different parts of the documentation Artem Bilan acknowledged the issue encouraging contributions to fix it Gary Russell confirmed the typos were fixed and suggested that for minor issues like this contributors could directly submit a pull request without needing to sign a Contributor License Agreement,0,0,0,1,1,0,0
Christoph Dreis opened issue AMQP 683 https jira spring io browse AMQP 683 redirect false suggesting that with Java 8 support the API documentation should be updated using the latest Javadocs A proposal for this update has been attached This change is referenced in a pull request https github com spring projects spring amqp pull 519 on the Spring AMQP GitHub repository,0,0,0,1,1,0,0
The Jackson2JsonMessageConverter in Spring AMQP has an undocumented condition where it fails to convert messages if the content type does not include json as a substring This behavior is not documented and should either be documented or removed The issue affecting version 1 6 GA is discussed in a pull request with the suggestion to add documentation Artem Bilan comments that the reliance on a JSON content type should be obvious and aligns with standards and Postel s Law However there is an agreement to add a note about this requirement in the relevant section of the documentation,0,0,0,1,1,0,0
Thorben Heins reported that the Spring AMQP documentation incorrectly uses the x ha policy for RabbitMQ s HA features which was deprecated in version 3 0 The correct approach now involves configuring HA policies via separate policies and regex matching of queue names He suggested adding a version hint to clarify this change Gary Russell responded encouraging contributions and providing guidance on accessing and editing the documentation He mentioned that since RabbitMQ 3 0 is dated the old configuration should be omitted and suggested updating examples to include current practices such as dead letter exchange configuration Russell also recommended linking to the RabbitMQ HA page for clarity,0,0,0,1,1,0,0
In the context of using the QueueBinding annotation in Spring AMQP there is a tendency for redundant code when specifying the same exchange type across multiple annotations This repetition can lead to errors and inefficiencies The proposed solution involves creating meta annotations which encapsulate these repetitive configurations thus reducing boilerplate code By using a custom annotation such as MyRabbitListener developers can centralize the configuration for the exchange type making the code cleaner and less error prone This approach was validated through a test confirming its effectiveness and it meets the use case requirements Consequently it may also be documented for broader guidance,0,0,0,1,1,0,0
In AMQP 593 a problem was identified with RPC style communication using RabbitMQ where multiple RabbitTemplate instances shared a fixed reply queue leading to issues with message correlation Each message had the same correlation ID causing responses to be mismatched Logs showed message responses being sent to incorrect templates The solution involves using unique reply queues for each template to ensure accurate message processing This challenge arose from the limitations of RabbitMQ s message selection mechanism but recent RabbitMQ versions have addressed performance issues with the introduction of direct replyTo The documentation will be updated to emphasize the need for unique reply queues to avoid such problems,0,0,0,1,1,0,0
Apache Qpid Proton is an open source implementation of AMQP 1 0 offering Java C and JavaScript versions with bindings for other languages like Go and Python While AMQP 0 9 1 used by RabbitMQ is known for its rich features AMQP 1 0 provides a simpler more streamlined protocol suitable for basic messaging needs The Spring ecosystem supports various messaging protocols including AMQP 0 9 1 and Kafka and there is interest in integrating AMQP 1 0 support similar to spring kafka and spring amqp Users aim to transition from legacy systems like HornetQ to modern solutions such as Apache Artemis which supports AMQP 1 0 via Qpid Proton Despite initial skepticism Qpid Proton has improved and is used in projects like Apache Artemis and ActiveMQ The Spring community is exploring using spring jms with qpid jms leveraging AMQP 1 0 for messaging This aligns with Spring s focus on reactive programming and contributions to this integration are encouraged,0,0,0,1,1,0,0
The issue AMQP 574 https jira spring io browse AMQP 574 redirect false opened by Dominik Bartholdi highlights a lack of comprehensive documentation on deserializing JSON payloads to objects using Spring AMQP Although there is some guidance on using DefaultMessageHandlerMethodFactory with a validator it lacks explicit instructions for JSON deserialization The user configures RabbitTemplate with a Jackson2JsonMessageConverter but finds additional configuration necessary such as implementing MappingJackson2MessageConverter and integrating it with DefaultMessageHandlerMethodFactory This setup requires clarity especially regarding the use of different message converters The documentation should be updated to better explain the integration process Gary Russell notes that using SimpleRabbitListenerContainerFactory simplifies the configuration referring to issue 2130,0,0,0,1,1,0,0
The AMQP Appender documentation contains an error where the class used in the Log4j configuration is incorrectly listed as org springframework amqp log4j AmqpAppender It should be org springframework amqp rabbit log4j AmqpAppender This was highlighted by Jan Vladimir Mostert in issue AMQP 433 https jira spring io browse AMQP 433 A relevant pull request on GitHub which addresses this mistake has been merged as confirmed by Gary Russell For more details you can refer to the discussion on Stack Overflow and the associated pull request in the Spring AMQP GitHub repository,0,0,0,1,1,0,0
The issue AMQP 411 opened by Igor Berman highlights the need for improved documentation regarding thread configuration in Spring AMQP Users can configure threads and executors in multiple ways but it s unclear how these options differ and when each should be used Berman points out that different components such as consumers and connections might use distinct executors or thread factories He explains three main configurations setting a thread factory for the RabbitMQ connection using an executor in the AMQP connection factory and defining an executor for the SimpleMessageListenerContainer However the documentation does not clearly explain their differences or specific use cases Gary Russell comments that the RabbitMQ client uses a default thread pool for async calls while the Spring AMQP executor can replace this default The SimpleListenerContainer s executor handles message listener invocations Russell acknowledges the need for better documentation and clarifies that the RabbitMQ client and Spring AMQP handle threading differently which can lead to confusion,0,0,0,1,1,0,0
In order to programmatically configure a SimpleMessageListenerContainer with RabbitTemplate in Spring AMQP you need to replace XML configurations with Configuration classes This involves setting up a SimpleMessageListenerContainer and RabbitTemplate in a Java based configuration The original request was to provide such a configuration equivalent to the applicationContext xml described in the Spring AMQP documentation The issue identified as AMQP 320 was raised by Pulkit Singhal and included references to specific documentation URLs The goal was to facilitate request reply messaging without relying on XML Gary Russell contributed a pull request to address this which was merged by Gunnar Hillert For detailed guidance Pulkit provided notes accessible via a GitHub Gist This issue affects versions 1 1 4 and 1 2 0 M1,0,0,0,1,1,0,0
The issue AMQP 247 discusses allowing the configuration of queue names in Spring AMQP using SpEL Spring Expression Language expressions The requester Ittai Zeidman wants the queue name to be set as a configurable property from an external file but Spring 3 1 doesn t support SpEL for bean names causing issues due to the coupling of logical and operational entity names Gary Russell commented that using both the id and name attributes can decouple the bean name from the queue name resolving the issue This allows the id to be the bean name while the name serves as the queue name The documentation will be updated to clarify this and examples include using si test queue and someBean queueName for queue names A pull request has been issued to address this enhancement,0,0,0,1,1,0,0
The reference documentation for the receive method in AMQP was found to be misleading as it incorrectly described the implementation as synchronous and blocking This caused confusion among developers To address this updates to the Java documentation were proposed to clarify the method s behavior A related forum thread discussed the issue further Additionally a suggestion was made to introduce blocking semantics to RabbitTemplate receive by utilizing a QueueingConsumer However a new issue was opened to explore this enhancement separately,0,0,0,1,1,0,0
The Tracer functionality in the RabbitMQ client is essential for logging protocol calls aiding in diagnosing client issues It can help users and streamline support by making it easy to enable through Spring AMQP The suggestion is to include documentation on using the Tracer class which can trace connections and log frames This involves running the Tracer with parameters like port and host and configuring options for inbound and outbound heartbeats frame assembly and command body suppression The trace logs show detailed protocol interactions such as connection starts channel openings exchanges and queue declarations This approach avoids additional coding and focuses on enhancing the reference documentation,0,0,0,1,1,0,0
The document highlights an issue encountered in the Chaos Monkey for Spring Boot plugin when running Spring Boot 2 2 6 RELEASE The problem occurs when the management server port is set to a different port than the main application port Specifically the error responses differ depending on whether the management port is the same as the application port When the ports are the same the validation error responses are detailed providing specific information about the validation failure e g fields rejected values and error codes However when the management port is different the error response is more generic simply stating Bad Request with no additional details about the validation error The response format inconsistency is problematic for the plugin as it aims to provide the same error messages to its users regardless of the port configuration The issue seems related to how Spring Boot handles error responses in different port configurations When both the application and management ports are the same the errors are processed through the main DispatcherServlet while with different ports they follow a separate path leading to the loss of error details The document suggests that this might be linked to a previous issue 10560 and indicates that a regression may have occurred in 2 2 6 The Spring Boot team has re opened the related issue to address this before the release of 2 2 8 They have identified that the javax servlet error exception attribute was not being set properly when the ports differ causing the error details to be lost The team has since adjusted the CompositeHandlerExceptionResolver to ensure that the exception is correctly stored and handled,1,0,1,0,0,0,0
The document refers to a forward port of issue 18211 to Spring Boot 2 2 0 RC1 The issue involves a NullPointerException NPE caused by concurrent calls to EndpointRequest This problem occurs during request matching in Spring Security where the matches method is called before proper initialization leading to race conditions The forward port ensures that the fix for the NPE originally addressed in 2 1 8 is applied to version 2 2 0 RC1 to prevent similar issues in this release,1,0,1,0,0,0,0
The document describes an issue encountered after upgrading from Spring Boot 2 1 7 to 2 1 8 where concurrent calls to EndpointRequest can result in a NullPointerException NPE The stack trace points to the matches method in EndpointRequest AbstractRequestMatcher as the source of the exception This issue occurs in the Spring Security request matching process and causes failures during security checks for various requests The problem seems difficult to reproduce locally but reverting to 2 1 7 resolves the issue suggesting a regression introduced in 2 1 8 The document notes that this might be related to previous issues 12380 and 14161 and there is a possibility of a race condition in ApplicationContextRequestMatcher Specifically it appears that the matches method might be called before the matcher has been fully initialized leading to the NPE Further investigation is required to determine if this is indeed a race condition and to ensure proper initialization before the matches method is invoked,1,0,1,0,0,0,0
The document discusses a potential bug in Spring Boot s configuration binding related to the ConfigurationPropertyName equals method The issue raised by snicoll occurs when dashed property names are used Specifically in a test case related to WebFlux metrics removing the final s character from the property name e g changing requests to request results in the test passing unexpectedly indicating an incorrect binding The bug seems to cause binding to succeed regardless of whether the property name includes the final s or not which is unexpected behavior The issue could not be reproduced in an isolated test case but was observed in the Spring Boot codebase The problem appears to only affect the master branch while Spring Boot 2 1 x does not seem to be impacted The team acknowledges that such issues can easily arise due to the complexity of the equals method logic,1,1,1,0,0,0,0
The document references a forward port of issue 16490 to Spring Boot 2 2 0 M2 The issue concerns the dependency management for solr uima where solr uima was mistakenly assigned a version 7 7 1 even though this version does not exist because UIMA was removed in Solr 7 5 This caused build failures when referencing the dependency in Spring Boot The forward port ensures that the fix for this issue is applied in the 2 2 0 M2 milestone addressing the problem in future versions of Spring Boot,1,0,1,0,0,0,0
The document highlights an issue with Spring Boot s dependency management for solr uima As part of the changes in https github com spring projects spring boot issues 16273 the version for solr uima was set to 7 7 1 using a shared solr version property However the problem is that no such version 7 7 1 exists for solr uima as it was removed in Solr 7 5 As a result builds fail if this dependency is referenced in spring boot dependencies 2 1 4 The user points out this discrepancy and asks for clarification questioning if something was missed The document concludes by acknowledging that UIMA was indeed removed and notes that Spring Boot intentionally upgraded from Solr 7 4 directly to 7 7 1 in a maintenance release which led to this issue,1,0,1,0,0,0,0
The document outlines an issue with the Spring Boot Gradle plugin which no longer writes certain required manifest entries that are necessary for Java buildpack detection of Spring Boot archives In previous versions using the Maven plugin these manifest entries were written by the Repackager class However starting with Spring Boot 2 0 the Gradle plugin stopped using this class causing the loss of these critical manifest entries The document suggests that the issue can likely be resolved by modifying specific lines in the Gradle plugin s code particularly in BootArchiveSupport A contributor offers to provide a pull request PR to fix the issue and asks if the maintainers philwebb and rhamedy are already working on it The issue is also presented as a possible opportunity for a first time contributor to address The goal is to ensure that the required manifest entries are correctly written when building Spring Boot archives with the Gradle plugin similar to how it s handled in the Maven plugin,1,0,1,0,0,0,0
The document describes an issue that arises after upgrading to Spring Boot 2 1 concerning how configuration properties are mapped to Java representations when the property keys are uppercase and similar In the provided example two keys in the application yml file MY KEY and MY KEY WITH OTHER VALUE are both mapped to the same value value1 even though they should have distinct values In Spring Boot 2 0 and 1 5 this issue did not occur and the keys were mapped correctly However in 2 1 the equality check for configuration property names fails when the keys start with the same uppercase letters This behavior results from changes introduced in Spring Boot 2 1 for improved property name adaptation The Spring Boot team points out that the documented requirements for property keys specify that only lowercase alphanumeric characters and hyphens should be used To preserve the original key values users should wrap keys containing uppercase or special characters in square brackets as per the recommended practice The document concludes with a proposed fix for the equality check logic in ConfigurationPropertyName but the team is debating whether to implement it While the fix would resolve the issue for non compliant keys it might encourage usage of property names that do not follow the documented guidelines The team leans towards making such cases fail rather than allowing confusing behavior where incorrect values are bound to map keys,1,0,1,0,0,0,0
The document describes an issue in Spring Boot 2 0 6 where resource versioning strategies such as GZip or content versioning stop working if the Actuator starter dependency is included in the project This issue is caused by changes in the resourceUrlEncodingFilter which is now wrapped inside a FilterRegistrationBean The problem arises because the ConditionalOnMissingBean annotation on the FilterRegistrationBean does not check for generic types and thus it mistakenly matches when any other FilterRegistrationBean e g from Actuator is present In Spring Boot 2 0 5 the resource strategies work as expected but after upgrading to 2 0 6 they stop being invoked The root cause is traced to a conflict with the Actuator s webMvcMetricsFilter which leads to the ConditionalOnMissingBean condition failing inappropriately To work around the issue the user can manually register the ResourceUrlEncodingFilter as a bean in their SpringBootApplication class javaCopy Beanpublic FilterRegistrationBean ResourceUrlEncodingFilter resourceUrlEncodingFilter FilterRegistrationBean ResourceUrlEncodingFilter registration new FilterRegistrationBean new ResourceUrlEncodingFilter registration setDispatcherTypes DispatcherType REQUEST DispatcherType ERROR return registration The Spring Boot team acknowledges the issue and suggests reverting to the behavior in 2 0 5 by relying on ConditionalOnBean ResourceUrlEncodingFilter They are considering long term solutions such as checking for a specific bean name,1,1,1,0,0,0,0
The document discusses an issue where Spring Boot s endpoint IDs do not support camelCase or PascalCase which leads to errors when used in configuration properties or JMX names For example attempting to define an endpoint with an ID like camelCase results in an error as Spring Boot enforces a canonical format of lowercase kebab case separated for property names and other configurations The issue was raised when testing with Spring Boot versions 2 0 5 and 2 1 0 M4 where a configuration property such as management endpoint camelCase cache time to live would fail with an error indicating invalid characters in the configuration name The document explains that this is due to the fact that the ID is used in various places such as configuration properties and JMX names and must adhere to a specific format There is a debate about whether endpoint IDs should support camelCase as they are valid URL paths but the current restriction is due to ensuring consistency across configuration properties The document suggests possible solutions such as introducing a way to clean configuration names to comply with the canonical format or allowing for custom mappings between endpoint IDs and their paths Ultimately the document highlights the need to balance predictability in endpoint IDs with flexibility for user defined formats The discussion also mentions potential changes including adding support for characters like dots in IDs or converting endpoint IDs to a canonical format automatically However there are concerns about breaking existing applications especially in Spring Cloud where some endpoints like hystrix stream use dots in their IDs The document concludes with the idea of creating an EndpointId class to handle various ID formats and produce a canonical version when needed,1,0,1,0,0,0,0
The document discusses an issue with SpringApplication setApplicationContextClass not correctly identifying a reactive web application causing the SpringApplication to have webApplicationType NONE in integration tests This discrepancy occurs because GenericReactiveWebApplicationContext is not considered a WebApplicationContext as WebApplicationContext is tied to the Servlet API The document suggests that although this issue doesn t cause problems in existing applications it is inconsistent and needs to be addressed The issue can be reproduced by adding a listener that prints the WebApplicationType Despite the application context being reactive the type is displayed as NONE instead of REACTIVE The document also touches on how integration tests may use a mock server leading to the use of GenericReactiveWebApplicationContext rather than ReactiveWebServerApplicationContext This seems to cause confusion about the correct WebApplicationType to be assigned The issue was reopened to address the problem reported in a previous commit which involves ensuring proper support for ConfigurableReactiveWebEnvironment in OnWebApplicationCondition,1,0,1,0,0,0,0
The document describes a security issue when using Spring Boot Actuator endpoints with Spring Security Specifically when the EndpointRequest toAnyEndpoint matcher is used to secure Actuator endpoints the actuator path is correctly secured but the actuator path with a trailing slash is not In the provided example an application is configured with Spring Boot 2 0 3 RELEASE Spring Security and Actuator and exposes all Actuator endpoints via the configuration management endpoints web exposure include When accessing actuator the user receives an access denied error as expected due to authentication being required but accessing actuator successfully returns the endpoint output bypassing the security restrictions This issue likely stems from the way Spring Security handles path matching where actuator and actuator are treated differently The document suggests that this discrepancy could lead to unintended exposure of sensitive information via the unsecured actuator path,1,0,1,0,0,0,0
The document highlights a change in the EnvironmentEndpoint where it no longer supports the setKeysToSanitize method Previously EnvironmentEndpoint was annotated with ConfigurationProperties which allowed for the configuration of keys to sanitize sensitive information However this annotation was removed during a refactor resulting in the inability to configure setKeysToSanitize This change affects the ability to sanitize specific environment variables in the endpoint s output,1,0,1,0,0,0,0
The document addresses an issue in the Spring Boot 1 5 5 RELEASE where a snapshot dependency spring data mongodb log4j version 1 10 5 BUILD SNAPSHOT was mistakenly included This causes problems with release plugins as snapshot dependencies are not allowed in release builds The problem originated from Spring Data s BOM and the enforcer rules in Spring Boot did not catch it because spring data mongodb log4j is not directly used A fix is planned for Spring Boot 1 5 6 which will be released soon to address this issue In the meantime users affected by this can manually resolve the issue by adding the following to their pom xml to override the snapshot version xmlCopy dependencyManagement dependencies dependency groupId org springframework data groupId artifactId spring data mongodb log4j artifactId version 1 10 5 RELEASE version dependency dependencies dependencyManagement Additionally olivergierke is requested to release an Ingalls SR5 2 BOM to permanently resolve the issue,1,0,1,0,0,0,0
The document describes a ClassCastException encountered during the parsing of a YAML configuration file in Spring Boot 2 0 0 BUILD SNAPSHOT The error occurs when OriginTrackedValue OriginTrackedCharSequence is incorrectly cast to a String during the YAML processing specifically in YamlProcessor buildFlattenedMap The issue arises when certain YAML keys such as group are represented as CharSequence rather than String This problem is not present in Spring Boot 1 5 x where the same configuration works correctly The document includes example configurations where this issue occurs and references an open bug 8011 that is related to the same problem To resolve the issue a change was suggested in the OriginTrackedYamlLoader OriginTrackingConstructor to ensure that keys are properly converted to strings when constructing the YAML mapping The document also notes that the same issue is reproducible in other projects using spring boot 2 0 0 BUILD SNAPSHOT,1,0,1,0,0,0,0
The document discusses a security issue in Spring WebFlux where the ResourceWebHandler in WebFlux exposes all resources in the classpath including sensitive files like application properties by default This behavior contrasts with Spring MVC which only exposes specific directories such as static thereby preventing access to sensitive resources The issue can be reproduced by running a sample WebFlux application and accessing http localhost 8080 application properties which unexpectedly allows the browser to download the file In contrast doing the same in a Spring MVC application results in a 404 error as expected The document highlights that this inconsistency poses a security risk for developers who are familiar with Spring MVC and may not realize that WebFlux behaves differently The core of the problem lies in the way EmbeddedReactiveWebApplicationContext handles resource loading falling back to DefaultResourceLoader which inadvertently exposes all classpath resources The proposed solutions include either stripping the list of default resource locations in WebFlux or enhancing EmbeddedReactiveWebApplicationContext to handle this case more securely,1,0,1,0,0,0,0
The document describes an issue with Couchbase auto configuration in Spring Boot A recent commit broke the functionality specifically with SpringBootCouchbaseDataConfiguration Initially the configuration class was expected to extend AbstractCouchbaseConfiguration but the Spring Boot team clarified that this is not necessary thanks to collaboration with the Couchbase team However users experienced problems with stale dependencies and cyclic dependencies when attempting to run Couchbase based applications Multiple users reported issues involving failed bean creation and circular dependencies particularly when using Spring Boot snapshots The problem seemed related to the springBootCouchbaseConfigurer bean and the issue persisted despite cleaning the Maven repository and updating dependencies After some investigation it was confirmed that the fix had been merged into the Spring Data Couchbase 3 0 x branch Users were advised to ensure their dependencies were up to date Eventually the problem was resolved for some users after updating their environments but others continued to face issues possibly due to stale or incorrect snapshots The document concludes with a request for affected users to provide sample projects or share more details for further investigation,1,0,1,0,0,0,0
The document discusses an issue with the Spring Boot configuration processor having a compile time dependency on spring core when it should be a test scope dependency Key Points The configuration processor incorrectly has a compile time dependency on spring core rather than being scoped to test philwebb acknowledges that there is no reason this issue wasn t fixed in 1 4 x snicoll suggests reopening the issue and backporting the fix for version 1 5 The issue has been present for a while but a fix is planned for 1 5 This issue highlights a dependency management problem in Spring Boot that is planned to be corrected in future releases by adjusting the scope of the spring core dependency,1,0,1,0,0,0,0
The document describes a security issue in Spring Boot 1 4 3 when using DevTools where every file on the classpath is exposed as a static file that can be downloaded even in production mode Key Points DevTools in Spring Boot 1 4 3 exposes all files on the classpath making them accessible for download including sensitive files like application properties The issue occurs even when the application is run with java jar which should disable DevTools in production mode according to the documentation A demo project is provided to illustrate the issue where files such as application properties can be accessed via an HTTP request Downgrading to Spring Boot 1 4 2 resolves the issue suggesting it is a regression introduced in 1 4 3 The root cause is related to the ClassLoaderFilesResourcePatternResolver which incorrectly resolves classpath resources instead of servlet resources A fix was applied in 7752 and additional tests are being added to prevent this from happening again The problem is considered a serious security issue as classpath files may contain sensitive information like production passwords This issue highlights a critical security vulnerability in Spring Boot 1 4 3 with DevTools where classpath resources are unintentionally exposed posing risks to production environments,1,1,1,0,0,0,0
The document refers to a Duplicate MBean registration issue related to audit events in a Spring Boot application using actuators The error occurs when trying to register an MBean for AuditEventsJmxEndpoint which results in a javax management InstanceAlreadyExistsException Key Points The error occurs during MBean registration for AuditEventsJmxEndpoint stating that an instance with the key abstractEndpointMBean already exists The issue is likely related to changes introduced in 6579 which manually registers an MBean while another one is being registered automatically by EndpointMBeanExporter The exception is thrown by MBeanExporter indicating that the MBean is being registered twice The error message suggests a conflict in the JMX endpoint registration for audit events This issue highlights a conflict where MBeans are being registered both manually and automatically causing duplication and preventing the application from starting correctly,1,0,1,0,0,0,0
The document describes a ClassCastException that occurs when performing an OPTIONS request on a secured heapdump endpoint using Spring Boot 1 5 0 BUILD SNAPSHOT The error results in a HTTP 500 response but the issue does not occur when security is disabled Key Points The issue happens when making an OPTIONS request to the secured heapdump endpoint A ClassCastException is thrown causing a HTTP 500 error The exception is related to casting HttpOptionsHandler to MvcEndpoint in MvcEndpointSecurityInterceptor The problem does not occur when security is disabled for the endpoint A sample project and curl command are provided to reproduce the issue This issue appears to be related to how Spring Boot handles secured actuator endpoints particularly with heap dumps and OPTIONS requests,1,0,1,0,0,0,0
